             mu          sigma          Media         Errore
            0.8           1.15       0.619931      0.0120227
           0.85           0.05        98.4337        0.28955
           0.85            0.1        23.6264      0.0633885
           0.85           0.15        9.93054      0.0270657
           0.85            0.2        5.01268      0.0151155
           0.85           0.25        2.77165      0.0112032
           0.85            0.3        1.55693     0.00753214
           0.85            0.4       0.298977     0.00379783
           0.85           0.45     -0.0559564     0.00291978
           0.85            0.5      -0.272776     0.00210153
           0.85           0.55      -0.391683     0.00110792
           0.85            0.6      -0.432169     0.00094643
           0.85           0.65      -0.422962     0.00136398
           0.85            0.7       -0.38613     0.00159913
           0.85           0.75      -0.322188      0.0028756
           0.85            0.8      -0.241091     0.00344021
           0.85           0.85      -0.147223     0.00467216
           0.85            0.9     -0.0399308     0.00565917
           0.85           0.95      0.0945199     0.00584781
           0.85              1       0.213222     0.00845843
           0.85           1.05       0.382351     0.00946991
           0.85            1.1       0.564457      0.0128292
           0.85           1.15       0.739666      0.0126972
            0.9           0.05        98.2874       0.283029
            0.9            0.1        23.5884      0.0820489
            0.9           0.15        9.73112      0.0340268
            0.9            0.2        4.92818      0.0159738
            0.9           0.25        2.70174      0.0104422
            0.9            0.3        1.50837     0.00728177
            0.9            0.4       0.311553     0.00341563
            0.9           0.45     -0.0247654     0.00259493
            0.9            0.5      -0.240903     0.00169575
            0.9           0.55      -0.360154     0.00125131
            0.9            0.6      -0.402918    0.000963732
            0.9           0.65      -0.391887     0.00166538
            0.9            0.7      -0.340922     0.00246625
            0.9           0.75      -0.267774     0.00306611
            0.9            0.8      -0.172423     0.00366103
            0.9           0.85     -0.0536634     0.00601207
            0.9            0.9      0.0569945     0.00542054
            0.9           0.95       0.196527     0.00743613
            0.9              1       0.360206     0.00982836
            0.9           1.05       0.535131      0.0106207
            0.9            1.1       0.751261      0.0123596
            0.9           1.15       0.971035      0.0144984
           0.95           0.05         98.291        0.28989
           0.95            0.1        23.6372      0.0682478
           0.95           0.15        9.71133      0.0318557
           0.95            0.2        4.89828      0.0156822
           0.95           0.25        2.63834      0.0104307
           0.95            0.3         1.4676       0.006786
           0.95            0.4       0.314455     0.00375103
           0.95           0.45     0.00183619     0.00250314
